PK;NOMBRE;DESCRIPCION-ENTIDAD;HORARIO;EQUIPAMIENTO;TRANSPORTE;DESCRIPCION;ACCESIBILIDAD;CONTENT-URL;NOMBRE-VIA;CLASE-VIAL;TIPO-NUM;NUM;PLANTA;PUERTA;ESCALERAS;ORIENTACION;LOCALIDAD;PROVINCIA;CODIGO-POSTAL;BARRIO;DISTRITO;COORDENADA-X;COORDENADA-Y;LATITUD;LONGITUD;TELEFONO;FAX;EMAIL;TIPO;
3557;Basílica Jesús de Medinaceli;;;;Metro: Antón Martín (línea 1).   Bus: 001, 10, 14, 27,34, 37, 45, C03.  Bicimad: Estación 27 (calle Jesús, 1).  Aparcamiento: Cortes (46), plaza de las Cortes.;;3;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=a64eef4d7f71c010VgnVCM1000000b205a0aRCRD;JESUS;PLAZA;V;2;;;;;MADRID;MADRID;28014;CORTES;CENTRO;440983;4473944;4.041.401.835.410.490;-3.695.608.378.509.960;914 299 375 /  914 296 893;;jesusmedinaceli@archimadrid.es;/contenido/entidadesYorganismos/TemplosIglesiasCatolicas; 
3394;Basílica La Milagrosa;;;;Metro: Alonso Cano (línea 7), Gregorio Marañón (líneas 7 y 10), Iglesia (línea 1).    Bus: 12, 16, 5, 61.    Bicimad: Estación 125 (calle Fernández de la Hoz, 29).;;3;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=53b313db5b71c010VgnVCM1000000b205a0aRCRD;GARCIA DE PAREDES;CALLE;V;45;;;;;MADRID;MADRID;28010;ALMAGRO;CHAMBERI;440994;4476465;40.436.738.433.323.500;-3.695.724.577.042.380;914 473 248 / 914 473 249;;parroquiamilagrosa@archimadrid.es;/contenido/entidadesYorganismos/TemplosIglesiasCatolicas; 
3371;Basílica Pontificia de San Miguel;;;;Metro: Sol (líneas 1, 2 y 3), Tirso de Molina (línea 1), La Latina (línea 5).  Bus: 31, 50, 65.  Cercanías Renfe: Sol (líneas C3, C4 y Regional).  Bicimad: Estaciones 35 (plaza del Cordón), 9 (plaza de San Miguel, 9).  Aparcamiento: Plaza Mayor (55).;;3;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=9c383d232e91f010VgnVCM1000000b205a0aRCRD;SAN JUSTO;CALLE;V;4;;;;;MADRID;MADRID;28005;PALACIO;CENTRO;439790;4473973;40.414.203.159.177.600;-37.096.715.906.562.700;915 484 011;;info@miguel.es;/contenido/entidadesYorganismos/MonumentosEdificiosArtisticos; 
11242837;Capilla de San Isidro;;Día 4 de cada mes (si coincide con un sábado, domingo o festivo se traslada la apertura al primer día laborable) de 10 a 14 horas. El día de apertura de la Capilla se celebra misa a las 13 horas. Cerrada el mes de agosto.;;Metro: La Latina (línea 5), Puerta de Toledo (línea 5).  Bus: 60, 002, 17, 18, 23, 35.  Bicimad: Estaciones 38 (carrera de San Francisco, 1), 37 (plaza de San Francisco, 5).  Aparcamiento: La Latina (86) calle de Toledo.;Descripción monumental: el Oratorio está ubicado en el solar donde, según latradición, nació y pasó su infancia el patrón de la ciudad de Madrid, San IsidroLabrador.;1;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=df1bdce835c05710VgnVCM1000001d4a900aRCRD;AGUILA;CALLE;V;1;;;;;MADRID;MADRID;28005;PALACIO;CENTRO;439593;4473511;40.410.034.722.621.200;-3.711.938.408.934.670;913 650 841 / 913 652 160;;info@cementeriodesanisidro.com;/contenido/entidadesYorganismos/MonumentosEdificiosArtisticos; 
3361;Catedral Santa María la Real de la Almudena;Su construcción comienza a finales del siglo XIX por el Marqués de Cubas, sobre el primer recinto amurallado del Madrid musulmán, y finaliza en el año 1993.;;;Metro: Ópera (líneas 2, 5 y Ramal), Sol (Líneas 1, 2 y 3).  Bus: 31, 50, 65.  Bicimad: Estaciones 36 (plaza Ramales, 1) y 166 (calle Segovia, 26).  Cercanías Renfe: Sol (líneas C3 y C4).;;3;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=15647b503a71c010VgnVCM1000000b205a0aRCRD;BAILEN;CALLE;V;10;;;;;MADRID;MADRID;28013;PALACIO;CENTRO;439452;4474125;40.415.547.923.977.500;-3.713.669.638.684.310;915 422 200;;informacion@catedraldelaalmudena.es;/contenido/entidadesYorganismos/MonumentosEdificiosArtisticos; 
3355;Concepción Real de Calatrava;;;;Metro: Sevilla (línea 2), Gran Vía (líneas 1 y 5).  Bus: 46, 51, 150, 5, 52, 15, 20, 53, 002, 146, 9, 001, 1, 2, 3, 74, M1.  Bicimad: Estación 28 (calle Alcalá, 27).  Aparcamiento: Sevilla (41) calle Sevilla y calle Alcalá.;;3;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=e8013d232e91f010VgnVCM1000000b205a0aRCRD;ALCALA;CALLE;V;25;;;;;MADRID;MADRID;28014;CORTES;CENTRO;440702;4474410;40.418.196.333.786.000;-3.698.963.613.858.250;915 218 035;;;/contenido/entidadesYorganismos/MonumentosEdificiosArtisticos; 
3354;Convento de las Comendadoras de Santiago;El templo fue construido entre 1667 y 1679 por Manuel del Olmo y José del Olmo. El convento data del siglo XVIII  y es obra de Francisco de Sabatini. Es destacable la iglesia de planta cruciforme con gran cúpula central y cuatro exedras semicirculares, así como la sacristía de planta elíptica construida entre 1745 y 1754 por Francisco Moradillo.;;;Metro: San Bernardo (líneas 2, 4), Ventura Rodríguez (línea 3) Bus: 1, 2, 21, 44, 74, 133, 147, C;Más información en la página web de Monumenta Madrid;0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=ee6b13db5b71c010VgnVCM1000000b205a0aRCRD;COMENDADORAS;PLAZA;V;10;;;;;MADRID;MADRID;28015;UNIVERSIDAD;CENTRO;439864;4475437;404.273.968.151.307;-3.708.949.668.437.210;;;;/contenido/entidadesYorganismos/MonumentosEdificiosArtisticos; 
6079820;Ermita de San Isidro;;De lunes a domingo de 10 a 14 horas. Sábados misa por los difuntos de la semana a las 12 horas. Cerrada durante el mes de agosto.;;Metro: Marqués de Vadillo (línea 5).  Bus: 25, 50.;Descripción monumental: Santuario cuyo origen se remonta a la Edad Media,ubicado junto al manantial que San Isidro había hecho brotar milagrosamente para dar de beber a su amo Iván de Vargas y que la tradición popular atribuye propiedades curativas, de una sola nave con pórtico, cúpula hexagonal cubierta de pizarra coronada por una linterna, reconstruido según el modelo de 1724.;0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=913cfa8389c10310VgnVCM1000000b205a0aRCRD;ERMITA DEL SANTO;PASEO;V;72;;;;;MADRID;MADRID;28019;SAN ISIDRO;CARABANCHEL;438420;4472476;4.040.061.741.587.040;-3.725.670.113.017.970;913 650 841 / 913 652 160;;info@cementeriodesanisidro.com;/contenido/entidadesYorganismos/MonumentosEdificiosArtisticos; 
3357;Ermita Virgen del Puerto;;;;Metro: Príncipe Pio (líneas 6 y 10), Puerta del Ángel (línea 6).  Bus: 148, 3, 41, 62, C2, 138, 25, 33, 39, C1, 31, 65.   Cercanías Renfe: Príncipe Pío (líneas C1, C10 y Regional).    Bicimad: Estación 167 (calle Segovia, 45).;Descripción monumental: Construido por Pedro Ribera en 1718.  Se encuadra en un proyecto urbanístico propuesto por el propio arquitecto para toda la ribera del Manzanares. De planta octogonal con exedras, lleva cubierta de pizarra.;3;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=fd7755004e91f010VgnVCM2000000c205a0aRCRD;VIRGEN DEL PUERTO;PASEO;V;4;;;;;MADRID;MADRID;28005;PALACIO;CENTRO;438818;4474132;4.041.556.461.689.200;-37.211.426.105.677.400;918 684 848;;info@ermitavirgendelpuerto.es;/contenido/entidadesYorganismos/MonumentosEdificiosArtisticos; 
11506113;Fuente de San Isidro;;De lunes a domingo de 9 a 15 horas.;;Metro: Marqués de Vadillo (línea 5).  Bus: 25, 17, 50.;Descripción monumental: Manantial de origen medieval, que San Isidro Labradorhabía hecho brotar milagrosamente al clavar su aguijada en el suelo para dar debeber a su señor Iván de Vargas, que la tradición popular atribuye propiedadescurativas.;1;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=9312625b0f0cc710VgnVCM2000001f4a900aRCRD;ERMITA DEL SANTO;PASEO;V;72;;;;;MADRID;MADRID;28019;SAN ISIDRO;CARABANCHEL;438420;4472476;4.040.061.741.587.040;-3.725.670.113.017.970;913 650 841 / 913 652 160;;info@cementeriodesanisidro.com;/contenido/entidadesYorganismos/MonumentosEdificiosArtisticos; 
