PK;NOMBRE;DESCRIPCION-ENTIDAD;HORARIO;EQUIPAMIENTO;TRANSPORTE;DESCRIPCION;ACCESIBILIDAD;CONTENT-URL;NOMBRE-VIA;CLASE-VIAL;TIPO-NUM;NUM;PLANTA;PUERTA;ESCALERAS;ORIENTACION;LOCALIDAD;PROVINCIA;CODIGO-POSTAL;BARRIO;DISTRITO;COORDENADA-X;COORDENADA-Y;LATITUD;LONGITUD;TELEFONO;FAX;EMAIL;TIPO;
11025958;Asambleas de Evangelización Mundial para Cristo (AEMC);Templo evangélico;;;Metro: San Francisco (línea 11)  Bus: 108, 118, 121, 131, 47;;3;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=2a060d28e4e5d610VgnVCM2000001f4a900aRCRD;ANTONIA RODRIGUEZ SACRISTAN;CALLE;V;8;;;;;MADRID;MADRID;28044;BUENAVISTA;CARABANCHEL;436747;4469402;40.372.800.292.475.500;-3.745.073.767.335.670;;;;/contenido/entidadesYorganismos/TemplosOtrasReligiones; 
4530770;Asociación Darse - Dar Ayuda para la Reinserción Social España;;;;Metro 5(calle Camino Viejo de Leganés 1):urgel;Entidad inscrita en el Censo Municipal de Entidades y Colectivos Ciudadanos.;0;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=358393b8cb901110VgnVCM2000000c205a0aRCRD;ALTO DE SAN ISIDRO;CAMINO;V;16;2º C;C;;;MADRID;MADRID;28019;SAN ISIDRO;CARABANCHEL;438658;4472013;4.039.646.987.780.760;-37.228.134.710.524.600;676247792;;darseorg@gmail.com;/contenido/entidadesYorganismos/TemplosOtrasReligiones; 
11431772;Asociación Tiempo Para Cuidar;Templo evangélico;;;Metro: Palos de la Frontera (línea 3)  Bus:  102, 8;;3;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=ed53eadaeea7a710VgnVCM1000001d4a900aRCRD;GENERAL LACY;CALLE;V;24;BAJA A;;;;MADRID;MADRID;28045;PALOS DE MOGUER;ARGANZUELA;441369;4472742;4.040.323.382.462.600;-3.690.948.499.497.660;;;;/contenido/entidadesYorganismos/TemplosOtrasReligiones; 
11431776;Asociación Visión Internacional;Templo evangélico;;;Metro: Torre Arias (línea 5)  Bus:  28, 48;;3;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=3104eadaeea7a710VgnVCM1000001d4a900aRCRD;DISCOBOLO;CALLE;V;53;;;;;MADRID;MADRID;28022;CANILLEJAS;SAN BLAS-CANILLEJAS;448015;4477077;4.044.272.761.836.330;-3.612.983.497.525.040;;;;/contenido/entidadesYorganismos/TemplosOtrasReligiones; 
11026233;Casa sobre la Roca Iglesia Cristiana Integral - Madrid;Templo evangélico;;;Metro: Arturo Soria (línea 4)  Bus: 120, 122, 11, 70;;3;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=0d9fb608d026d610VgnVCM2000001f4a900aRCRD;ULISES;CALLE;V;1;;;;;MADRID;MADRID;28043;COLINA;CIUDAD LINEAL;444411;4478618;40.456.371.724.419.700;-36.556.133.054.897.100;;;;/contenido/entidadesYorganismos/TemplosOtrasReligiones; 
3387;Catedral Anglicana de Madrid;;;;Metro: Alonso Martínez (líneas 4, 5, 10), Tribunal (líneas 1, 10)  Bus: 149, 3, 40, 37  Bicimad: Estación 54 (calle Barceló, 7) / estación 7 (calle Hortaleza, 75)  Aparcamiento: Barceló (69), calle Barceló, sin número / Arquitecto Ribera (Barceló) (17), calle Barceló, 2);;3;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=94ef13db5b71c010VgnVCM1000000b205a0aRCRD;BENEFICENCIA;CALLE;NUM;18;;;;;MADRID;MADRID;28004;JUSTICIA;CENTRO;440734;4475314;4.042.635.120.982.080;-3.698.682.579.292.040;914 452 560 / 609 876 913;;anglicanspain@gmail.com;/contenido/entidadesYorganismos/TemplosOtrasReligiones; 
3388;Catedral Ortodoxa Griega. Santa Iglesia Catedral de los Santos Andrés y Demetrio;;;;Metro: Colombia (líneas 8, 9)  Bus: 7, 11, 40, 52, 87;;3;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=82547b503a71c010VgnVCM1000000b205a0aRCRD;NICARAGUA;CALLE;V;12;;;;;MADRID;MADRID;28016;HISPANOAMERICA;CHAMARTIN;442946;4478760;4.045.754.917.910.680;-3.672.905.343.222.740;913 454 085 / 913 503 705;913 509 374;metropoliespo@yahoo.es;/contenido/entidadesYorganismos/TemplosOtrasReligiones; 
11030102;Centro Apostólico Cristo Viene;Templo evangélico;;;Metro: Almendrales (línea 3)  Bus: 123, 23, 18, 22, 59, 76, 79, 85, 86;;3;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=cec2be0e48e6d610VgnVCM2000001f4a900aRCRD;ANTONIO LOPEZ;CALLE;V;236;1;;;;MADRID;MADRID;28026;ALMENDRALES;USERA;440917;4470580;40.383.724.492.823.500;-36.960.683.266.163.900;;;;/contenido/entidadesYorganismos/TemplosOtrasReligiones; 
7063869;Centro Cristiano Ciudad de Refugio;Templo evangélico;;;Metro: San Cristóbal (línea 3)  Bus: 59, 79  Cercanías: San Cristóbal del los Ángeles;;3;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=9d28ec795b750410VgnVCM2000000c205a0aRCRD;GODELLA;CALLE;V;103;1;D;;;MADRID;MADRID;28021;SAN CRISTOBAL;VILLAVERDE;441595;4465935;4.034.192.622.597.720;-36.876.586.251.390.400;;;;/contenido/entidadesYorganismos/TemplosOtrasReligiones; 
3751;Centro Cultural Islámico. Mezquita de Madrid;;;;Metro: Parque de las Avenidas: (línea 7), Barrio de la Concepción (línea 7)  Bus: 53, 122;;3;http://www.madrid.es/sites/v/index.jsp?vgnextchannel=bfa48ab43d6bb410VgnVCM100000171f5a0aRCRD&vgnextoid=a3b71e79ee71c010VgnVCM1000000b205a0aRCRD;SALVADOR DE MADARIAGA;CALLE;V;7;;;;;MADRID;MADRID;28027;SAN PASCUAL;CIUDAD LINEAL;444248;4476638;40.438.521.492.191.300;-36.573.640.044.493.400;913 262 610;;info@centro-islamico.com;/contenido/entidadesYorganismos/TemplosOtrasReligiones; 
