;Place of interest;City;Place address;lat_start;long_start;Type of place;Start;id;BiciMAD station;light;number;Station location;activate;no_available;total_bases;dock_bikes;free_bases;reservations_count;geometry_type;geometry_coordinates;long_finish;lat_finish;final;Distance
830;Capilla de San Isidro;MADRID;CALLE AGUILA 1;40.410034722621276;-3.711938408934679;catolicas;POINT (4498424.488260705 -413500.4498761344);42;Plaza de los Carros;1;38;Carrera de San Francisco nº 1;1;0;24;20;3;0;Point;[-3.7114762, 40.4114041];-3.7114762;40.4114041;POINT (4498576.926653208 -413448.8888590888);160.9223476951848
829;Capilla de San Isidro;MADRID;CALLE AGUILA 1;40.410034722621276;-3.711938408934679;catolicas;POINT (4498424.488260705 -413500.4498761344);41;Plaza de San Francisco;2;37;Plaza de San Francisco nº 5;1;0;24;13;10;0;Point;[-3.714113, 40.4108];-3.714113;40.4108;POINT (4498509.678548819 -413743.0334481568);257.10732117959435
837;Capilla de San Isidro;MADRID;CALLE AGUILA 1;40.410034722621276;-3.711938408934679;catolicas;POINT (4498424.488260705 -413500.4498761344);49;Puerta de Toledo;2;45;Glorieta de la Puerta de Toledo nº 1;1;0;21;8;12;0;Point;[-3.7110513, 40.4070358];-3.7110513;40.4070358;POINT (4498090.649721576 -413401.4898074972);348.1971645383369
831;Capilla de San Isidro;MADRID;CALLE AGUILA 1;40.410034722621276;-3.711938408934679;catolicas;POINT (4498424.488260705 -413500.4498761344);43;Plaza de la Cebada;1;39;Plaza de la Cebada nº 16 ;1;0;27;25;1;0;Point;[-3.7088337, 40.4112744];-3.7088337;40.4112744;POINT (4498562.488515252 -413154.1092953339);372.8214963817933
960;Capilla de San Isidro;MADRID;CALLE AGUILA 1;40.410034722621276;-3.711938408934679;catolicas;POINT (4498424.488260705 -413500.4498761344);174;Segovia 26;2;166;Calle Segovia nº 26;1;0;24;8;15;0;Point;[-3.7135833, 40.4138333];-3.7135833;40.4138333;POINT (4498847.343960243 -413683.9434243567);460.95208522274055
827;Capilla de San Isidro;MADRID;CALLE AGUILA 1;40.410034722621276;-3.711938408934679;catolicas;POINT (4498424.488260705 -413500.4498761344);39;Plaza del Cordón;1;35;Plaza del Cordón;1;0;24;18;6;0;Point;[-3.7103285, 40.4141931];-3.7103285;40.4141931;POINT (4498887.396713031 -413320.8590420586);496.5250274844333
1030;Capilla de San Isidro;MADRID;CALLE AGUILA 1;40.410034722621276;-3.711938408934679;catolicas;POINT (4498424.488260705 -413500.4498761344);244;Paseo Imperial;2;236;Paseo Imperial nº 20;1;0;24;10;14;0;Point;[-3.7172213778842007, 40.40765396169372];-3.7172213778842007;40.40765396169372;POINT (4498159.463166549 -414089.7853865778);646.1846828902926
801;Capilla de San Isidro;MADRID;CALLE AGUILA 1;40.410034722621276;-3.711938408934679;catolicas;POINT (4498424.488260705 -413500.4498761344);10;Plaza de San Miguel;2;9;Plaza de San Miguel nº 9;1;0;24;15;7;0;Point;[-3.7095084, 40.4156057];-3.7095084;40.4156057;POINT (4499044.646625726 -413229.3742149966);676.814902145489
961;Capilla de San Isidro;MADRID;CALLE AGUILA 1;40.410034722621276;-3.711938408934679;catolicas;POINT (4498424.488260705 -413500.4498761344);175;Segovia 45;2;167;Calle Segovia nº 45;1;0;24;11;12;0;Point;[-3.717487, 40.413736];-3.717487;40.413736;POINT (4498836.512573789 -414119.4166486436);743.5616316369616
919;Capilla de San Isidro;MADRID;CALLE AGUILA 1;40.410034722621276;-3.711938408934679;catolicas;POINT (4498424.488260705 -413500.4498761344);133;Metro Pirámides;2;162;Paseo de los Olmos nº 28;1;0;24;13;8;0;Point;[-3.7108108, 40.4034076];-3.7108108;40.4034076;POINT (4497686.76034508 -413374.6612181486);748.3750824088186
838;Capilla de San Isidro;MADRID;CALLE AGUILA 1;40.410034722621276;-3.711938408934679;catolicas;POINT (4498424.488260705 -413500.4498761344);50;Ribera de Curtidores;2;46;Calle Ribera de Curtidores nº 28;1;0;24;12;11;0;Point;[-3.7071259, 40.4053153];-3.7071259;40.4053153;POINT (4497899.124537665 -412963.5990588086);751.143023364695
828;Capilla de San Isidro;MADRID;CALLE AGUILA 1;40.410034722621276;-3.711938408934679;catolicas;POINT (4498424.488260705 -413500.4498761344);40;Plaza Ramales;2;36;Plaza de Ramales;1;0;24;8;16;0;Point;[-3.71183, 40.4168];-3.71183;40.4168;POINT (4499177.595493579 -413488.3564793408);753.2043245053313
824;Capilla de San Isidro;MADRID;CALLE AGUILA 1;40.410034722621276;-3.711938408934679;catolicas;POINT (4498424.488260705 -413500.4498761344);36;Plaza de la Provincia;2;32;Plaza de la Provincia nº 1;1;0;18;12;6;0;Point;[-3.7061032, 40.4150099];-3.7061032;40.4150099;POINT (4498978.322473111 -412849.5139680053);854.6636129629348
836;Capilla de San Isidro;MADRID;CALLE AGUILA 1;40.410034722621276;-3.711938408934679;catolicas;POINT (4498424.488260705 -413500.4498761344);48;Plaza de Nelson Mandela;2;44;Calle Mesón de Paredes nº 35;1;0;21;8;11;0;Point;[-3.7040666, 40.4097617];-3.7040666;40.4097617;POINT (4498394.095521529 -412622.3258442401);878.6498358190466
815;Capilla de San Isidro;MADRID;CALLE AGUILA 1;40.410034722621276;-3.711938408934679;catolicas;POINT (4498424.488260705 -413500.4498761344);27;Palacio de Oriente;2;24;Calle Carlos III nº 1;1;0;24;9;11;0;Point;[-3.710692, 40.417908];-3.710692;40.417908;POINT (4499300.937489377 -413361.4086785789);887.4095475359553
832;Capilla de San Isidro;MADRID;CALLE AGUILA 1;40.410034722621276;-3.711938408934679;catolicas;POINT (4498424.488260705 -413500.4498761344);44;Conde de Romanones;1;40;Plaza del Conde de Romanones nº 9;1;0;24;23;1;0;Point;[-3.7049407, 40.4138846];-3.7049407;40.4138846;POINT (4498853.05465012 -412719.8339501653);890.5225286387447
823;Capilla de San Isidro;MADRID;CALLE AGUILA 1;40.410034722621276;-3.711938408934679;catolicas;POINT (4498424.488260705 -413500.4498761344);35;Calle Mayor;2;31;Calle Mayor nº 20;1;0;27;15;9;0;Point;[-3.7068969, 40.4163638];-3.7068969;40.4163638;POINT (4499129.037931696 -412938.0534466859);901.487649804105
